title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
삼성 갤럭시 Z플립5 256GB 중고 중고폰 자급제 공기계 리퍼폰 SM-F731 F등급,https://smartstore.naver.com/main/products/10748772666,https://shopping-phinf.pstatic.net/main_8829327/88293278588.6.jpg,68000,,블링폰,88293278588,5,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
삼성전자 갤럭시 S24 FE 256GB 자급제 SM-S721N,https://smartstore.naver.com/main/products/10984384270,https://shopping-phinf.pstatic.net/main_8852889/88528890328.3.jpg,889540,,삼성전자공식파트너 쇼마젠시,88528890328,2,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성 갤럭시 S23플러스 자급제 중고폰 공기계 리퍼폰 SM-S916 F등급,https://smartstore.naver.com/main/products/9783287922,https://shopping-phinf.pstatic.net/main_8732779/87327790195.3.jpg,233000,,블링폰,87327790195,5,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
삼성 갤럭시 S23 울트라 중고폰 자급제 리퍼폰 팬텀블랙 크림 라벤더 그린 256 512GB F등급,https://smartstore.naver.com/main/products/11534228889,https://shopping-phinf.pstatic.net/main_8907873/89078739295.jpg,188000,,멀티폰,89078739295,5,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S24 울트라 5G 512GB [자급제],https://search.shopping.naver.com/catalog/53626542255,https://shopping-phinf.pstatic.net/main_5362654/53626542255.20250318155641.jpg,1392990,,네이버,53626542255,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
아이폰SE3 64GB A2783 중고 중고폰 공기계 유심옮기면 바로 사용가능 F급,https://smartstore.naver.com/main/products/10086855472,https://shopping-phinf.pstatic.net/main_8763135/87631358130.2.jpg,67000,,민트폰,87631358130,5,아이폰,Apple,디지털/가전,휴대폰,공기계/중고폰,
삼성 갤럭시 S24 중고폰 256기가 공기계 리퍼폰 F등급,https://smartstore.naver.com/main/products/11260352049,https://shopping-phinf.pstatic.net/main_8880486/88804862380.4.jpg,340000,,버블폰,88804862380,5,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
삼성전자 갤럭시 S23 중고폰 공기계 리퍼폰 256기가 F등급,https://smartstore.naver.com/main/products/9031712366,https://shopping-phinf.pstatic.net/main_8657621/86576212734.4.jpg,290000,,호두모바일,86576212734,5,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
삼성전자 갤럭시 S 25 플러스 512GB 미개봉 새상품  실버,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8593125271&ctag=8593125271&lptag=I24915524744&itemId=24915524744&vendorItemId=91921900614&spec=10305199,https://shopping-phinf.pstatic.net/main_5296880/52968805863.1.jpg,514000,,쿠팡,52968805863,2,삼성,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시A15 LTE SM-A155N 미개봉 새상품,https://smartstore.naver.com/main/products/10259576829,https://shopping-phinf.pstatic.net/main_8780408/87804080596.1.jpg,69000,,응답하라 휴대폰,87804080596,2,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
애플 아이폰13미니 128GB 핑크 T등급 중고폰 자급제폰,https://daejeonmobile.com/product/detail.html?product_no=4560&cate_no=27&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open,https://shopping-phinf.pstatic.net/main_3119089/31190897217.1.jpg,40000,,대전모바일,31190897217,5,아이폰,Apple,디지털/가전,휴대폰,자급제폰,
삼성전자 스마트폴더 갤럭시폴더2021 갤럭시폴더2 공기계 32G SM-G160N,https://link.gmarket.co.kr/gate/pcs?item-no=2538278841&sub-id=1003&service-code=10000003&lcd=100000056,https://shopping-phinf.pstatic.net/main_5416924/54169245671.jpg,110000,,G마켓,54169245671,2,삼성,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
삼성전자 갤럭시 A35 128GB 5G 통신사 자급제 SM-A356N 미개봉 삼성정품,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=7429972314&tid=1000000061,https://shopping-phinf.pstatic.net/main_4955633/49556337669.1.jpg,253610,,11번가,49556337669,2,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
[대여] 갤럭시 S25 울트라 대여 단기 렌탈 1일대여 1일 방문수령,https://smartstore.naver.com/main/products/11422578080,https://shopping-phinf.pstatic.net/main_8896708/88967088445.1.jpg,9900,,울트라 렌탈,88967088445,2,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
갤럭시 S23 플러스 256GB SM-S916N 미개봉 Galaxy S23 Plus,https://www.lotteon.com/p/product/LO2348356685?sitmNo=LO2348356685_2348356686&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,https://shopping-phinf.pstatic.net/main_4964807/49648075067.1.jpg,341100,,롯데ON,49648075067,2,,삼성전자,디지털/가전,휴대폰,자급제폰,
갤럭시 S23 울트라 256GB 미개통 미개봉 새상품,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=7556680361&tid=1000000061,https://shopping-phinf.pstatic.net/main_5025896/50258965003.2.jpg,687510,,11번가,50258965003,2,삼성,,디지털/가전,휴대폰,자급제폰,
갤럭시 A16 SM-A165 자녀폰 미개봉 새제품 신제품 SK,https://smartstore.naver.com/main/products/11319496312,https://shopping-phinf.pstatic.net/main_8886400/88864006643.jpg,194000,,메이크라이프,88864006643,2,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
아이폰 15 프로 256GB [자급제],https://search.shopping.naver.com/catalog/53599860411,https://shopping-phinf.pstatic.net/main_5359986/53599860411.20250317181935.jpg,1490000,,네이버,53599860411,1,Apple,Apple,디지털/가전,휴대폰,자급제폰,
아이폰 16 프로 512GB [자급제],https://search.shopping.naver.com/catalog/53599506883,https://shopping-phinf.pstatic.net/main_5359950/53599506883.20250317164806.jpg,1940000,,네이버,53599506883,1,Apple,Apple,디지털/가전,휴대폰,자급제폰,
삼성 갤럭시 S20플러스 중고 폰 공기계 리퍼폰 알뜰폰 F등급,https://smartstore.naver.com/main/products/5360250771,https://shopping-phinf.pstatic.net/main_8290474/82904743773.10.jpg,82000,,톡톡폰,82904743773,5,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
삼성전자 갤럭시 S24 5G 512GB [자급제],https://search.shopping.naver.com/catalog/53550499971,https://shopping-phinf.pstatic.net/main_5355049/53550499971.20250314165402.jpg,899000,,네이버,53550499971,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
코비폴더 2G 3G 안심하고 사용하는 학생폰 키즈폰 초등폰 수능폰 W9300,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=3481055028&tid=1000000061,https://shopping-phinf.pstatic.net/main_4725625/47256252632.jpg,38090,,11번가,47256252632,2,,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
